iter	MultiClass
0	1.454112488
1	1.198971119
2	1.025208255
3	0.8956362703
4	0.7941959933
5	0.7122977571
6	0.6447777439
7	0.5880978615
8	0.5401599317
9	0.4983044617
10	0.4623798508
11	0.43150279
12	0.4040716972
13	0.3802415105
14	0.3591750458
15	0.3401874746
16	0.3236886983
17	0.3091063064
18	0.2962395874
19	0.2845266815
20	0.2739708593
21	0.2646234949
22	0.2563811275
23	0.2488938863
24	0.2421554124
25	0.236201678
26	0.2305234262
27	0.2254479298
28	0.2208582079
29	0.2165823397
30	0.2128863451
31	0.2094802338
32	0.2059474483
33	0.2029160221
34	0.2001939542
35	0.1978553347
36	0.195563811
37	0.1933757427
38	0.1913995561
39	0.1897485488
40	0.188361874
41	0.187055499
42	0.1857385512
43	0.1844679827
44	0.183378378
45	0.1824656912
46	0.1813637084
47	0.1803828968
48	0.179585791
49	0.1788837161
50	0.177974701
51	0.1771636308
52	0.17641033
53	0.1758211591
54	0.1750955982
55	0.1744561556
56	0.1738371994
57	0.1733329595
58	0.1727512266
59	0.1722325054
60	0.171648635
61	0.171343006
62	0.1709011213
63	0.1703575186
64	0.1697942105
65	0.1693884633
66	0.1688774357
67	0.168493385
68	0.1680703017
69	0.1677121019
70	0.1672898483
71	0.1669991868
72	0.1667413389
73	0.1663946793
74	0.1659730071
75	0.1656769576
76	0.1653981229
77	0.1651571358
78	0.1647572919
79	0.1644264837
80	0.1641554427
81	0.1639672412
82	0.1636831704
83	0.163493274
84	0.1631831177
85	0.1630120377
86	0.162808671
87	0.1624914957
88	0.1622982363
89	0.162042123
90	0.1617640772
91	0.1616526884
92	0.1613628978
93	0.1611713827
94	0.1610061688
95	0.1608974966
96	0.1605825289
97	0.1603014052
98	0.1601004709
99	0.1599481205
100	0.1597846947
101	0.1595570417
102	0.1594370387
103	0.1591064536
104	0.1590168973
105	0.1588889972
106	0.1587593001
107	0.1584954202
108	0.1582935826
109	0.1581047302
110	0.1579220081
111	0.1576940001
112	0.1575024324
113	0.1573145403
114	0.15708516
115	0.1569815828
116	0.1568074886
117	0.1566021113
118	0.1564966054
119	0.156333475
120	0.1562054019
121	0.1559673769
122	0.1557987371
123	0.1556011048
124	0.1554799774
125	0.1553595128
126	0.1552687319
127	0.1551053634
128	0.155015546
129	0.1548969916
130	0.1547259925
131	0.154565319
132	0.1543681116
133	0.1541818003
134	0.1540694725
135	0.1539895191
136	0.1538874214
137	0.1537998221
138	0.1536939691
139	0.1535407568
140	0.1534559803
141	0.1533347368
142	0.1532423892
143	0.1530406238
144	0.1529328071
145	0.1528854544
146	0.1527564475
147	0.152547213
148	0.1524366941
149	0.1523482626
150	0.1522699575
151	0.1522173949
152	0.1520693662
153	0.1519652061
154	0.1518688397
155	0.1517845365
156	0.1516780619
157	0.1516026938
158	0.1514929169
159	0.1513693654
160	0.1513085005
161	0.1511914652
162	0.1510968081
163	0.1509746963
164	0.1508753372
165	0.1507653192
166	0.1506235345
167	0.1504337917
168	0.1503453045
169	0.1501986518
170	0.1501227639
171	0.1500239874
172	0.149974912
173	0.1498290226
174	0.1497283066
175	0.1495763241
176	0.1494826686
177	0.1493837395
178	0.1492782534
179	0.1491698868
180	0.1490872979
181	0.1489784083
182	0.1488772786
183	0.1487926787
184	0.1486984387
185	0.148575906
186	0.1484923131
187	0.1484432318
188	0.148376851
189	0.1483260994
190	0.1482537521
191	0.1481186698
192	0.1480189415
193	0.1479387183
194	0.147864782
195	0.1477265879
196	0.1476197398
197	0.1475470086
198	0.1474226166
199	0.1473694734
200	0.1473212716
201	0.1472058162
202	0.1471353068
203	0.1470720765
204	0.1469234147
205	0.1468118167
206	0.1467413486
207	0.1466307224
208	0.1465413241
209	0.146492725
210	0.1464041386
211	0.146336682
212	0.1462342498
213	0.146139665
214	0.1460100657
215	0.1459268354
216	0.1458603775
217	0.1458300453
218	0.1457338782
219	0.1456264771
220	0.1455429665
221	0.1454858162
222	0.1453973291
223	0.1453083474
224	0.1452315678
225	0.1451344658
226	0.1450667657
227	0.1450275091
228	0.1449718177
229	0.1449327294
230	0.1448469738
231	0.1447998703
232	0.1447502663
233	0.1447027218
234	0.1446048342
235	0.1445332744
236	0.1444606508
237	0.1444162397
238	0.14431654
239	0.1442349596
240	0.1442057829
241	0.1441565263
242	0.1440763249
243	0.1440337782
244	0.1439465658
245	0.1438624518
246	0.1437710349
247	0.1437002912
248	0.1436427386
249	0.1435599977
250	0.143489375
251	0.1434498769
252	0.1433875539
253	0.1433568752
254	0.143278614
255	0.1432288769
256	0.1431619453
257	0.1430942006
258	0.1430566615
259	0.1430145095
260	0.1429388018
261	0.1429064922
262	0.1428498407
263	0.142742609
264	0.1427143258
265	0.1426431533
266	0.1425714881
267	0.1424693643
268	0.1423986677
269	0.142359181
270	0.1423199963
271	0.1422754176
272	0.1422118338
273	0.1421664814
274	0.1421162669
275	0.142067897
276	0.1419843276
277	0.1419098687
278	0.1418690292
279	0.1417642468
280	0.1417289595
281	0.1416554538
282	0.1415798869
283	0.141523377
284	0.1414614311
285	0.1413787557
286	0.1413195132
287	0.1412687511
288	0.1412361682
289	0.1411820672
290	0.1411346404
291	0.1411036139
292	0.141037782
293	0.1409827372
294	0.1409610234
295	0.140846953
296	0.1407624101
297	0.1407177176
298	0.140643087
299	0.1405643065
300	0.140506691
301	0.140455894
302	0.1404004577
303	0.1403689251
304	0.140306343
305	0.1402479143
306	0.1401738004
307	0.1401436711
308	0.1400963239
309	0.1400607883
310	0.1400148334
311	0.1399931031
312	0.1399471374
313	0.1398923405
314	0.1398365467
315	0.1397474445
316	0.1397002268
317	0.1396247771
318	0.1395973932
319	0.1395465928
320	0.1394931023
321	0.1394522778
322	0.139410352
323	0.1393727474
324	0.1393249212
325	0.1392695209
326	0.1392313246
327	0.1391572193
328	0.1390949105
329	0.1390337814
330	0.1389316207
331	0.1389162229
332	0.1388855157
333	0.1388141538
334	0.1387671398
335	0.1387390296
336	0.1386965718
337	0.1386586244
338	0.1385702109
339	0.1385265011
340	0.1384902286
341	0.1384066464
342	0.1383096309
343	0.138233999
344	0.1381996886
345	0.1381167653
346	0.1380318725
347	0.1379882075
348	0.1379375077
349	0.1378824691
350	0.1378422887
351	0.1378204496
352	0.1377868133
353	0.1377492781
354	0.1377007865
355	0.1376173538
356	0.1375924951
357	0.1375258129
358	0.1374867116
359	0.1374158352
360	0.1373442607
361	0.1372982
362	0.137247893
363	0.1372322643
364	0.1371852563
365	0.1371611118
366	0.1371233714
367	0.137065979
368	0.1370220062
369	0.1369858344
370	0.1369515151
371	0.1368742535
372	0.1368120489
373	0.1367424034
374	0.1367048676
375	0.1366577549
376	0.1366033915
377	0.1365415773
378	0.1365106698
379	0.1364611198
380	0.1364306343
381	0.1364156123
382	0.1363701607
383	0.136294
384	0.1362499826
385	0.1361903788
386	0.1361550049
