iter	Passed	Remaining
0	486	486344
1	604	301575
2	703	233915
3	796	198306
4	881	175345
5	967	160208
6	1054	149595
7	1137	141051
8	1232	135734
9	1321	130877
10	1410	126832
11	1498	123391
12	1592	120933
13	1675	118006
14	1766	116026
15	1852	113907
16	1941	112239
17	2022	110350
18	2105	108708
19	2187	107202
20	2268	105776
21	2354	104646
22	2432	103344
23	2514	102275
24	2594	101176
25	2671	100078
26	2754	99270
27	2840	98603
28	2922	97863
29	3002	97090
30	3094	96717
31	3181	96226
32	3262	95603
33	3342	94963
34	3422	94354
35	3502	93779
36	3587	93383
37	3673	93005
38	3761	92677
39	3834	92030
40	3906	91368
41	3985	90906
42	4066	90513
43	4149	90161
44	4225	89672
45	4298	89137
46	4378	88779
47	4448	88234
48	4532	87972
49	4609	87585
50	4693	87333
51	4770	86968
52	4854	86741
53	4929	86358
54	5020	86266
55	5105	86060
56	5174	85608
57	5246	85214
58	5321	84879
59	5407	84711
60	5487	84464
61	5557	84076
62	5630	83744
63	5720	83655
64	5810	83579
65	5882	83239
66	5968	83109
67	6045	82856
68	6119	82569
69	6199	82363
70	6281	82195
71	6351	81861
72	6428	81635
73	6505	81411
74	6582	81186
75	6659	80967
76	6737	80764
77	6807	80470
78	6898	80420
79	6972	80186
80	7047	79964
81	7117	79678
82	7200	79547
83	7267	79249
84	7348	79104
85	7425	78913
86	7495	78661
87	7575	78512
88	7653	78338
89	7745	78319
90	7820	78120
91	7889	77862
92	7971	77746
93	8044	77532
94	8122	77379
95	8195	77176
96	8280	77081
97	8368	77020
98	8436	76780
99	8514	76633
100	8594	76495
101	8680	76423
102	8746	76167
103	8834	76109
104	8898	75848
105	8971	75664
106	9038	75429
107	9125	75367
108	9214	75319
109	9295	75206
110	9376	75092
111	9451	74940
112	9535	74848
113	9610	74689
114	9698	74632
115	9768	74440
116	9847	74315
117	9937	74280
118	10013	74132
119	10091	74003
120	10174	73913
121	10256	73811
122	10331	73666
123	10417	73594
124	10485	73395
125	10558	73239
126	10639	73136
127	10723	73054
128	10798	72909
129	10866	72723
130	10947	72623
131	11031	72541
132	11112	72437
133	11198	72372
134	11282	72290
135	11349	72104
136	11414	71905
137	11486	71749
138	11565	71638
139	11641	71509
140	11711	71349
141	11782	71192
142	11849	71014
143	11932	70934
144	12008	70808
145	12080	70665
146	12155	70537
147	12237	70448
148	12318	70354
149	12384	70181
150	12448	69990
151	12510	69793
152	12592	69713
153	12672	69617
154	12756	69542
155	12829	69409
156	12901	69272
157	12980	69173
158	13055	69055
159	13133	68951
160	13203	68807
161	13286	68726
162	13355	68581
163	13430	68461
164	13514	68392
165	13593	68297
166	13671	68192
167	13755	68124
168	13822	67966
169	13907	67902
170	13975	67752
171	14056	67666
172	14134	67565
173	14214	67478
174	14297	67404
175	14378	67315
176	14453	67205
177	14529	67095
178	14607	67000
179	14686	66905
180	14768	66826
181	14847	66733
182	14923	66624
183	14996	66506
184	15074	66410
185	15162	66357
186	15244	66277
187	15314	66146
188	15383	66012
189	15445	65846
190	15516	65721
191	15610	65692
192	15686	65590
193	15765	65500
194	15844	65408
195	15927	65335
196	16011	65264
197	16100	65213
198	16187	65156
199	16269	65076
200	16346	64980
201	16426	64892
202	16502	64791
203	16572	64663
204	16655	64590
205	16738	64514
206	16810	64400
207	16897	64339
208	16976	64250
209	17043	64116
210	17126	64041
211	17201	63936
212	17288	63879
213	17368	63791
214	17452	63723
215	17535	63646
216	17607	63532
217	17672	63395
218	17746	63286
219	17834	63230
220	17919	63164
221	18002	63091
222	18090	63034
223	18162	62920
224	18240	62828
225	18324	62756
226	18402	62665
227	18493	62618
228	18566	62511
229	18633	62380
230	18707	62278
231	18785	62187
232	18868	62112
233	18958	62060
234	19045	61998
235	19126	61917
236	19210	61847
237	19278	61723
238	19353	61623
239	19428	61523
240	19499	61412
241	19587	61353
242	19659	61243
243	19725	61117
244	19805	61033
245	19893	60974
246	19980	60912
247	20065	60843
248	20140	60745
249	20216	60649
250	20291	60551
251	20361	60438
252	20441	60355
253	20508	60234
254	20591	60159
255	20671	60077
256	20747	59983
257	20821	59881
258	20887	59759
259	20961	59658
260	21037	59565
261	21108	59457
262	21184	59363
263	21271	59303
264	21341	59191
265	21421	59109
266	21501	59029
267	21586	58960
268	21671	58891
269	21751	58809
270	21821	58700
271	21901	58618
272	21975	58521
273	22046	58414
274	22126	58333
275	22203	58244
276	22283	58162
277	22357	58065
278	22423	57947
279	22506	57873
280	22578	57772
281	22655	57682
282	22734	57599
283	22811	57509
284	22891	57430
285	22977	57363
286	23049	57263
287	23118	57154
288	23186	57044
289	23261	56950
290	23342	56871
291	23421	56789
292	23494	56691
293	23572	56606
294	23644	56505
295	23726	56430
296	23807	56352
297	23883	56262
298	23973	56204
299	24062	56146
300	24150	56082
301	24238	56022
302	24313	55929
303	24398	55859
304	24487	55800
305	24563	55709
306	24644	55631
307	24719	55539
308	24795	55449
309	24871	55358
310	24943	55261
311	25013	55157
312	25087	55064
313	25164	54977
314	25251	54912
315	25338	54846
316	25419	54769
317	25499	54688
318	25577	54602
319	25654	54516
320	25736	54438
321	25807	54340
322	25874	54232
323	25953	54149
324	26025	54053
325	26109	53980
326	26182	53887
327	26269	53820
328	26343	53727
329	26426	53652
330	26515	53592
331	26588	53497
332	26654	53388
333	26729	53299
334	26801	53202
335	26870	53100
336	26947	53015
337	27019	52919
338	27104	52849
339	27178	52758
340	27255	52672
341	27341	52605
342	27429	52540
343	27516	52473
344	27597	52394
345	27675	52311
346	27760	52241
347	27839	52158
348	27917	52074
349	28005	52009
350	28072	51906
351	28151	51823
352	28228	51738
353	28305	51654
354	28386	51574
355	28471	51503
356	28544	51412
357	28631	51345
358	28712	51266
359	28790	51182
360	28876	51113
361	28954	51029
362	29039	50958
363	29106	50857
364	29179	50765
365	29247	50664
366	29317	50566
367	29395	50483
368	29474	50401
369	29548	50311
370	29636	50246
371	29719	50171
372	29804	50099
373	29892	50034
374	29968	49948
375	30056	49881
376	30141	49809
377	30226	49738
378	30311	49665
379	30399	49598
380	30475	49513
381	30548	49421
382	30626	49338
383	30710	49264
384	30783	49173
385	30865	49097
386	30942	49012
387	31030	48945
388	31102	48853
389	31186	48779
390	31262	48692
391	31346	48619
392	31433	48549
393	31513	48469
394	31606	48410
395	31681	48323
396	31756	48234
397	31834	48152
398	31919	48079
399	32007	48011
400	32088	47932
401	32175	47862
402	32248	47772
403	32332	47698
404	32400	47601
405	32474	47511
406	32548	47423
407	32618	47328
408	32699	47249
409	32772	47160
410	32838	47060
411	32913	46973
412	32984	46880
413	33062	46797
414	33142	46718
415	33214	46627
416	33295	46549
417	33367	46459
418	33447	46379
419	33520	46290
420	33596	46205
421	33680	46130
422	33763	46056
423	33848	45983
424	33925	45899
425	34005	45819
426	34079	45732
427	34161	45655
428	34233	45565
429	34321	45495
430	34397	45410
431	34485	45342
432	34560	45255
433	34646	45184
434	34723	45100
435	34804	45022
436	34884	44942
437	34966	44865
438	35040	44777
439	35114	44691
440	35200	44619
441	35289	44551
442	35359	44459
443	35439	44379
444	35518	44298
445	35596	44216
446	35674	44133
447	35762	44064
448	35843	43985
449	35924	43907
450	36006	43830
451	36082	43745
452	36163	43667
453	36248	43594
454	36321	43506
455	36401	43426
456	36481	43347
457	36560	43265
458	36644	43191
459	36720	43106
460	36803	43030
461	36879	42945
462	36968	42876
463	37037	42784
464	37126	42715
465	37204	42633
466	37288	42558
467	37366	42476
468	37436	42384
469	37508	42296
470	37591	42220
471	37674	42144
472	37748	42057
473	37836	41987
474	37921	41913
475	38004	41836
476	38084	41757
477	38163	41675
478	38242	41595
479	38324	41518
480	38394	41427
481	38487	41362
482	38557	41271
483	38637	41191
484	38715	41110
485	38797	41032
486	38883	40959
487	38972	40889
488	39036	40793
489	39117	40714
490	39192	40629
491	39271	40548
492	39351	40468
493	39431	40389
494	39500	40298
495	39574	40212
496	39662	40141
497	39747	40066
498	39822	39982
499	39910	39910
500	39984	39824
501	40060	39740
502	40140	39661
503	40219	39581
504	40291	39493
505	40360	39403
506	40435	39318
507	40522	39246
508	40611	39175
509	40686	39090
510	40756	39001
511	40832	38918
512	40907	38834
513	40984	38751
514	41070	38678
515	41154	38602
516	41235	38524
517	41303	38432
518	41383	38353
519	41475	38284
520	41552	38202
521	41636	38127
522	41705	38037
523	41777	37950
524	41861	37874
525	41926	37781
526	42008	37704
527	42085	37622
528	42173	37549
529	42255	37471
530	42335	37391
531	42402	37301
532	42481	37221
533	42556	37137
534	42638	37059
535	42701	36965
536	42782	36886
537	42859	36804
538	42941	36727
539	43018	36644
540	43104	36571
541	43188	36495
542	43259	36408
543	43329	36320
544	43415	36246
545	43507	36176
546	43581	36092
547	43661	36013
548	43730	35924
549	43816	35850
550	43889	35764
551	43958	35676
552	44045	35603
553	44130	35527
554	44202	35441
555	44286	35365
556	44370	35289
557	44445	35205
558	44530	35130
559	44611	35052
560	44688	34970
561	44754	34879
562	44831	34797
563	44915	34721
564	44984	34634
565	45070	34559
566	45148	34478
567	45228	34399
568	45316	34325
569	45388	34240
570	45465	34158
571	45546	34080
572	45629	34002
573	45705	33920
574	45782	33839
575	45863	33760
576	45938	33677
577	46019	33599
578	46093	33515
579	46167	33431
580	46246	33351
581	46335	33278
582	46416	33199
583	46497	33121
584	46577	33042
585	46651	32958
586	46742	32886
587	46823	32808
588	46916	32737
589	46993	32656
590	47078	32580
591	47163	32504
592	47229	32415
593	47307	32334
594	47395	32260
595	47461	32171
596	47535	32088
597	47618	32011
598	47702	31934
599	47779	31852
600	47866	31778
601	47944	31697
602	48017	31613
603	48102	31537
604	48176	31453
605	48264	31379
606	48344	31300
607	48417	31216
608	48501	31139
609	48584	31062
610	48662	30981
611	48738	30899
612	48816	30818
613	48886	30733
614	48967	30654
615	49042	30571
616	49125	30494
617	49202	30412
618	49285	30335
619	49373	30261
620	49449	30179
621	49515	30091
622	49595	30011
623	49682	29936
624	49761	29857
625	49835	29774
626	49915	29694
627	49992	29613
628	50076	29536
629	50156	29456
630	50244	29382
631	50312	29295
632	50400	29221
633	50478	29140
634	50561	29063
635	50648	28987
636	50729	28908
637	50821	28836
638	50906	28759
639	50976	28674
640	51055	28594
641	51141	28518
642	51211	28433
643	51291	28353
644	51363	28269
645	51447	28192
646	51529	28114
647	51609	28034
648	51687	27954
649	51775	27879
650	51856	27800
651	51939	27722
652	52018	27642
653	52096	27561
654	52175	27481
655	52256	27402
656	52339	27324
657	52409	27240
658	52483	27157
659	52567	27080
660	52650	27002
661	52727	26921
662	52807	26841
663	52874	26756
664	52964	26681
