DEPTH,TVDSS,GR,RT,NPHI,RHOB,VCALCITE,VQUARTZ,VSH,VCOAL,VORGSH,VGAS,VOIL,VWATER,PHIT,PHIE,SWE,PERM,LITHO,FLUID,Wells
3230.5,3008.9937,73.0228,3.3699,0.5958,1.8882,0.0,0.061115,0.5793,0.0,0.0,0.0,0.233917,0.125676,0.359593,0.128546,0.3495,0.1815,6.0,,SH-15
3231.0,3009.4688,75.0225,2.743,0.6173,1.8206,0.0,0.0086,0.6015,0.0,0.0,0.011694,0.235209,0.143011,0.389915,0.120451,0.3668,0.1205,6.0,,SH-15
3231.5,3009.9439,79.9957,1.5419,0.6041,1.742,0.0,0.0,0.59,0.0,0.0,0.06296,0.15314,0.193921,0.410021,0.124634,0.4805,0.1494,6.0,,SH-15
3232.0,3010.4189,85.8545,1.2538,0.5856,1.6872,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,,SH-15
3232.5,3010.8939,82.7985,1.1966,0.5819,1.6834,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,,SH-15
3233.0,3011.3689,81.5991,1.0237,0.5831,1.7048,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,,SH-15
3233.5,3011.8439,86.7115,1.1967,0.5714,1.6997,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,,SH-15
3234.0,3012.3189,84.2567,1.5306,0.5424,1.6697,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,,SH-15
3234.5,3012.7938,80.6822,1.4729,0.5082,1.6782,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,,SH-15
3235.0,3013.2687,69.7476,1.7241,0.4878,1.7588,0.0,0.049291,0.5539,0.0,0.0,0.093993,0.115092,0.187738,0.396822,0.137897,0.4731,0.2823,6.0,,SH-15
3235.5,3013.7436,66.1157,2.6561,0.4845,1.8545,0.0,0.123088,0.5152,0.0,0.0,0.056878,0.156122,0.148681,0.361681,0.152354,0.4111,8.4956,6.0,,SH-15
3236.0,3014.2185,70.952,3.927,0.4812,1.8964,0.0,0.111782,0.5555,0.0,0.0,0.052669,0.166303,0.113716,0.332688,0.137283,0.3418,0.2745,6.0,,SH-15
3236.5,3014.6934,70.2749,3.9366,0.4596,1.9131,0.0,0.130375,0.5477,0.0,0.0,0.058375,0.151245,0.112304,0.321924,0.140187,0.3489,0.3131,6.0,,SH-15
3237.0,3015.1682,69.2794,4.183,0.4303,1.9723,0.0,0.172717,0.5343,0.0,0.0,0.053604,0.13467,0.104745,0.293018,0.145198,0.3575,0.3905,6.0,,SH-15
3237.5,3015.643,69.9098,8.5268,0.4185,2.0446,0.0,0.207014,0.5349,0.0,0.0,0.035456,0.154244,0.068365,0.258065,0.14495,0.2649,0.3864,6.0,,SH-15
3238.0,3016.1178,70.9977,11.9903,0.4185,2.0873,0.0,0.219012,0.5421,0.0,0.0,0.022002,0.162064,0.054806,0.238872,0.142261,0.2294,0.3434,6.0,,SH-15
3238.5,3016.5926,74.6051,14.7368,0.4263,2.1041,0.0,0.198887,0.5737,0.0,0.0,0.017815,0.162899,0.04672,0.227434,0.130574,0.2054,0.2003,6.0,,SH-15
3239.0,3017.0673,73.4392,26.4855,0.4384,2.1102,0.0,0.207587,0.5632,0.0,0.0,0.00586,0.188028,0.03533,0.229217,0.134434,0.1541,0.2406,6.0,,SH-15
