iter	MultiClass
0	1.468021093
1	1.218049192
2	1.047920535
3	0.9206026463
4	0.8208972629
5	0.7392516473
6	0.672024792
7	0.6156123703
8	0.5680246473
9	0.5272172095
10	0.4919690017
11	0.4610601435
12	0.4341814307
13	0.4107174391
14	0.3895851512
15	0.3713705726
16	0.3550247329
17	0.3404453115
18	0.3272221209
19	0.315605952
20	0.3053884327
21	0.2963271427
22	0.2879988318
23	0.2804301628
24	0.2736394589
25	0.267433859
26	0.2618794124
27	0.2569010878
28	0.2523001119
29	0.2479223465
30	0.244369692
31	0.2408911172
32	0.2375814969
33	0.2344655971
34	0.231954034
35	0.2296537668
36	0.227583519
37	0.2255937388
38	0.2233622477
39	0.2216226758
40	0.2202984997
41	0.2188914124
42	0.2176171192
43	0.2162592624
44	0.2150943296
45	0.2140106359
46	0.2129239633
47	0.211780801
48	0.2108265057
49	0.2099815344
50	0.209155348
51	0.2085697574
52	0.2078246514
53	0.2071072127
54	0.2062207775
55	0.2055276689
56	0.2049251739
57	0.2043534168
58	0.2038293346
59	0.2035128515
60	0.2029212255
61	0.2024942749
62	0.2021435172
63	0.2016373477
64	0.2011424689
65	0.2006875327
66	0.2003065539
67	0.1999552982
68	0.1995283278
69	0.1991021533
70	0.1988039876
71	0.1983499792
72	0.1980005998
73	0.1975346245
74	0.1973104393
75	0.1970669891
76	0.1968352432
77	0.1965614359
78	0.1963149939
79	0.195949848
80	0.1956304547
81	0.1954495279
82	0.1951334654
83	0.1949205389
84	0.1945717792
85	0.1942526724
86	0.1940103973
87	0.1938622933
88	0.1935479961
89	0.1931685419
90	0.1928729721
91	0.1927117279
92	0.1925662594
93	0.1922704714
94	0.1920043605
95	0.1916885721
96	0.1915422639
97	0.1913435426
98	0.1911180408
99	0.1908949595
100	0.1907212953
101	0.1905745234
102	0.1902664753
103	0.1900770575
104	0.1899817327
105	0.1898105588
106	0.1895818261
107	0.1893290953
108	0.189137102
109	0.1890173485
110	0.1887158108
111	0.1885151182
112	0.1884268203
113	0.1881899185
114	0.1880673896
115	0.1878946565
116	0.1877398221
117	0.1875779379
118	0.187357236
119	0.1871544771
120	0.1870180979
121	0.1868710143
122	0.1866817568
123	0.1864699693
124	0.1863388966
125	0.1862082326
126	0.1860765755
127	0.1859585589
128	0.1858245945
129	0.185598653
130	0.185482964
131	0.1853703708
132	0.185314742
133	0.1850627267
134	0.1848735776
135	0.1848008807
136	0.1846738087
137	0.1845734384
138	0.1843753308
139	0.184254211
140	0.1840433039
141	0.1839442385
142	0.1838134837
143	0.1836589563
144	0.1835010111
145	0.1833011996
146	0.1832182236
147	0.1830128489
148	0.18295845
149	0.1828228623
150	0.1827558858
151	0.1825636706
152	0.1824117851
153	0.18232269
154	0.1822610462
155	0.1821414611
156	0.1820327356
157	0.1818943451
158	0.1818164933
159	0.1816831661
160	0.181623783
161	0.1814855744
162	0.1813467026
163	0.1812746475
164	0.1812103724
165	0.1811335297
166	0.1810889318
167	0.1809156596
168	0.180822595
169	0.180711532
170	0.1805855278
171	0.1804347317
172	0.1803282323
173	0.1802226425
174	0.1801382524
175	0.1800021166
176	0.1799306993
177	0.1797817158
178	0.1796967329
179	0.179628023
180	0.179536069
181	0.1794169968
182	0.179333052
183	0.1792236515
184	0.179113436
185	0.1790234714
186	0.1789381767
187	0.1788669343
188	0.1787602302
189	0.1787172319
190	0.1785545312
191	0.1784632587
192	0.1783848433
193	0.1782902908
194	0.1782454388
195	0.1781287387
196	0.1780536723
197	0.1780343259
198	0.1779571288
199	0.1778371558
200	0.1777311113
201	0.1776590941
202	0.1775369075
203	0.1773935886
204	0.1772990865
205	0.1772232047
206	0.1771143681
207	0.1770477575
208	0.176896824
209	0.1767408727
210	0.1766273887
211	0.1765796487
212	0.1765590551
213	0.1764813424
214	0.1764195102
215	0.1763347923
216	0.1763005115
217	0.1762233613
218	0.1761581532
219	0.1761123002
220	0.1760778772
221	0.1759402844
222	0.1759064017
223	0.1758022139
224	0.1757363906
225	0.1756360213
226	0.1755794012
227	0.1754757762
228	0.1754017951
229	0.1752896372
230	0.1752477801
231	0.1751938384
232	0.1750733445
233	0.175008271
234	0.1748793182
235	0.1748078164
236	0.1747684147
237	0.1746368979
238	0.1746064578
239	0.1745193013
240	0.174398576
241	0.1743709713
242	0.1742981779
243	0.1742728179
244	0.1742420597
245	0.1741765517
246	0.1740900336
247	0.174014048
248	0.1739881443
249	0.1739169983
250	0.1738317372
251	0.1737638309
252	0.1736814544
253	0.1736194743
254	0.1734920872
255	0.1734105684
256	0.1733647757
257	0.1733106651
258	0.1732280621
259	0.1732076794
260	0.1731145312
