iter	Passed	Remaining
0	969	968736
1	1080	539313
2	1195	397387
3	1300	323793
4	1396	277852
5	1508	249930
6	1606	227829
7	1699	210712
8	1803	198541
9	1898	187915
10	2002	180005
11	2099	172864
12	2207	167579
13	2318	163292
14	2421	158993
15	2521	155081
16	2622	151615
17	2721	148477
18	2826	145923
19	2928	143510
20	3032	141370
21	3133	139298
22	3231	137279
23	3337	135740
24	3432	133884
25	3522	131968
26	3614	130256
27	3727	129390
28	3831	128291
29	3933	127194
30	4028	125907
31	4124	124754
32	4215	123517
33	4313	122556
34	4406	121485
35	4502	120580
36	4599	119719
37	4697	118920
38	4805	118414
39	4915	117974
40	5001	116985
41	5116	116701
42	5200	115738
43	5306	115305
44	5394	114491
45	5494	113957
46	5579	113125
47	5676	112585
48	5766	111908
49	5866	111463
50	5961	110935
51	6051	110330
52	6146	109819
53	6244	109387
54	6348	109077
55	6449	108723
56	6549	108351
57	6634	107757
58	6726	107286
59	6803	106595
60	6908	106344
61	6993	105806
62	7076	105252
63	7172	104893
64	7269	104572
65	7355	104094
66	7443	103658
67	7531	103224
68	7629	102939
69	7722	102596
70	7803	102106
71	7905	101891
72	8012	101741
73	8107	101450
74	8185	100951
75	8284	100720
76	8362	100243
77	8444	99819
78	8533	99490
79	8643	99405
80	8732	99072
81	8811	98645
82	8909	98437
83	9002	98169
84	9117	98143
85	9209	97877
86	9300	97603
87	9383	97243
88	9473	96972
89	9568	96749
90	9660	96500
91	9738	96117
92	9827	95849
93	9929	95707
94	10027	95527
95	10126	95357
96	10206	95018
97	10296	94766
98	10382	94492
99	10477	94296
100	10574	94127
101	10666	93908
102	10768	93776
103	10864	93604
104	10947	93311
105	11032	93050
106	11127	92863
107	11219	92665
108	11325	92578
109	11421	92407
110	11517	92247
111	11611	92060
112	11684	91718
113	11780	91558
114	11879	91417
115	11971	91227
116	12058	91009
117	12165	90929
118	12269	90837
119	12370	90720
120	12459	90513
121	12550	90322
122	12637	90106
123	12731	89943
124	12825	89779
125	12912	89565
126	13008	89420
127	13100	89243
128	13190	89058
129	13293	88963
130	13385	88790
131	13468	88566
132	13551	88338
133	13652	88234
134	13757	88148
135	13829	87860
136	13922	87699
137	14022	87590
138	14120	87468
139	14205	87260
140	14303	87141
141	14384	86914
142	14477	86762
143	14582	86684
144	14672	86518
145	14767	86381
146	14862	86243
147	14963	86142
148	15052	85968
149	15148	85842
150	15226	85613
151	15326	85507
152	15416	85347
153	15493	85111
154	15568	84875
155	15666	84760
156	15772	84688
157	15863	84540
158	15946	84346
159	16041	84219
160	16124	84026
161	16214	83872
162	16307	83738
163	16389	83546
164	16471	83357
165	16550	83151
166	16630	82951
167	16734	82874
168	16829	82755
169	16923	82626
170	17018	82506
171	17118	82405
172	17205	82247
173	17295	82103
174	17383	81952
175	17473	81806
176	17556	81634
177	17650	81507
178	17737	81352
179	17818	81174
180	17908	81035
181	18004	80922
182	18094	80782
183	18194	80690
184	18297	80607
185	18400	80526
186	18495	80411
187	18587	80281
188	18681	80161
189	18776	80048
190	18892	80023
191	19010	80001
192	19097	79853
193	19190	79729
194	19264	79529
195	19353	79389
196	19450	79281
197	19526	79093
198	19622	78981
199	19731	78924
200	19837	78858
201	19941	78776
202	20028	78632
203	20125	78530
204	20215	78397
205	20300	78245
206	20400	78153
207	20496	78044
208	20588	77919
209	20690	77835
210	20788	77735
211	20871	77580
212	20953	77421
213	21049	77311
214	21138	77181
215	21229	77053
216	21305	76878
217	21408	76795
218	21499	76671
219	21586	76535
220	21677	76409
221	21778	76321
222	21862	76177
223	21965	76093
224	22050	75952
225	22139	75822
226	22227	75689
227	22346	75664
228	22441	75556
229	22541	75465
230	22624	75318
231	22711	75182
232	22804	75068
233	22907	74986
234	23003	74883
235	23085	74733
236	23161	74567
237	23263	74482
238	23341	74322
239	23423	74174
240	23517	74066
241	23599	73917
242	23685	73785
243	23767	73641
244	23856	73518
245	23954	73420
246	24059	73348
247	24148	73223
248	24224	73062
249	24318	72956
250	24400	72813
251	24502	72728
252	24593	72614
253	24678	72480
254	24775	72382
255	24868	72274
256	24949	72131
257	25037	72006
258	25125	71882
259	25203	71732
260	25310	71665
261	25406	71565
262	25489	71427
263	25570	71288
264	25667	71190
265	25764	71093
266	25862	71002
267	25947	70871
268	26047	70784
269	26148	70697
270	26253	70621
271	26347	70519
272	26430	70384
273	26520	70268
274	26625	70194
275	26700	70040
276	26803	69960
277	26904	69873
278	26993	69758
279	27065	69596
280	27161	69499
281	27252	69386
282	27343	69277
283	27439	69179
284	27530	69067
285	27636	68994
286	27738	68910
287	27834	68813
288	27933	68721
289	28018	68597
290	28094	68449
291	28186	68341
292	28274	68225
293	28367	68119
294	28461	68017
295	28540	67880
296	28627	67762
297	28698	67604
298	28789	67496
299	28889	67408
300	28980	67300
301	29079	67211
302	29172	67107
303	29262	66995
304	29365	66915
305	29465	66827
306	29570	66749
307	29667	66654
308	29771	66576
309	29860	66464
310	29950	66353
311	30026	66211
312	30111	66090
313	30185	65945
314	30287	65864
315	30381	65763
316	30481	65674
317	30569	65561
318	30652	65437
319	30761	65369
320	30853	65264
321	30929	65124
322	31028	65035
323	31122	64934
324	31211	64824
325	31307	64726
326	31391	64606
327	31502	64542
328	31604	64457
329	31702	64365
330	31817	64306
331	31908	64200
332	32000	64096
333	32098	64005
334	32197	63914
335	32287	63806
336	32371	63686
337	32462	63580
338	32546	63459
339	32636	63353
340	32732	63257
341	32826	63157
342	32943	63102
343	33043	63012
344	33131	62901
345	33226	62804
346	33321	62705
347	33407	62591
348	33504	62496
349	33602	62405
350	33694	62301
351	33801	62224
352	33888	62113
353	33989	62026
354	34075	61912
355	34175	61823
356	34259	61704
357	34348	61596
358	34437	61488
359	34530	61387
360	34626	61292
361	34704	61164
362	34804	61075
363	34906	60990
364	35018	60922
365	35122	60840
366	35213	60736
367	35312	60645
368	35412	60556
369	35499	60445
370	35583	60328
371	35683	60239
372	35765	60121
373	35855	60014
374	35949	59915
375	36033	59800
376	36108	59669
377	36189	59549
378	36277	59441
379	36380	59357
380	36482	59271
381	36578	59176
382	36683	59095
383	36788	59015
384	36891	58931
385	36998	58852
386	37094	58757
387	37186	58655
388	37293	58577
389	37379	58464
390	37455	58338
391	37551	58243
392	37653	58157
393	37748	58059
394	37839	57956
395	37928	57850
396	38020	57748
397	38119	57657
398	38219	57568
399	38315	57472
400	38400	57361
401	38487	57252
402	38572	57141
403	38660	57033
404	38742	56917
405	38819	56795
406	38912	56695
407	39000	56588
408	39098	56497
409	39205	56418
410	39299	56320
411	39383	56207
412	39454	56077
413	39551	55984
414	39645	55885
415	39730	55775
416	39812	55660
417	39888	55537
418	39988	55449
419	40086	55357
420	40190	55274
421	40291	55185
422	40385	55088
423	40486	55001
424	40586	54911
425	40680	54813
426	40791	54738
427	40884	54639
428	40973	54536
429	41058	54426
430	41153	54330
431	41250	54237
432	41341	54135
433	41434	54037
434	41538	53951
435	41644	53870
436	41739	53773
437	41830	53672
438	41930	53583
439	42030	53493
440	42135	53409
441	42235	53320
442	42323	53214
443	42407	53105
444	42508	53015
445	42601	52917
446	42702	52828
447	42803	52740
448	42894	52638
449	42973	52522
450	43068	52426
451	43141	52304
452	43232	52203
453	43312	52089
454	43408	51994
455	43496	51890
456	43586	51789
457	43674	51684
458	43752	51568
459	43840	51465
460	43929	51362
461	44025	51267
462	44133	51187
463	44222	51084
464	44308	50978
465	44398	50876
466	44502	50792
467	44579	50676
468	44671	50576
469	44750	50463
470	44839	50361
471	44937	50269
472	45038	50180
473	45137	50089
474	45228	49989
475	45322	49893
476	45412	49791
477	45514	49704
478	45595	49593
479	45669	49474
480	45754	49369
481	45846	49270
482	45932	49165
483	46020	49063
484	46124	48977
485	46223	48887
486	46309	48781
487	46383	48664
488	46468	48559
489	46574	48475
490	46690	48402
491	46793	48315
492	46887	48219
493	46977	48118
494	47069	48020
495	47158	47919
496	47253	47823
497	47342	47722
498	47440	47630
499	47526	47526
500	47614	47424
501	47717	47337
502	47807	47237
503	47908	47148
504	47999	47048
505	48104	46963
506	48204	46873
507	48289	46768
508	48387	46676
509	48476	46575
510	48566	46475
511	48659	46378
512	48737	46267
513	48811	46152
514	48899	46050
515	48984	45946
516	49074	45847
517	49156	45740
518	49251	45645
519	49351	45555
520	49439	45454
521	49540	45364
522	49636	45270
523	49708	45154
524	49800	45057
525	49881	44950
526	49958	44839
527	50055	44746
528	50141	44643
529	50214	44530
530	50319	44444
531	50401	44337
532	50476	44226
533	50561	44123
534	50655	44027
535	50755	43937
536	50848	43841
537	50947	43750
538	51032	43647
539	51129	43554
540	51236	43470
541	51327	43372
542	51405	43263
543	51513	43180
544	51612	43089
545	51717	43002
546	51809	42905
547	51893	42802
548	51980	42701
549	52082	42613
550	52180	42521
551	52283	42433
552	52382	42341
553	52467	42239
554	52548	42133
555	52634	42031
556	52736	41943
557	52819	41839
558	52913	41743
559	53011	41652
